epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,160.419,0.8289,0.46091,0.90474,0.86893,0.88444,0.93135,0.65996,1.08961,0.64931,1.0322,0.0008912,0.0008912,0.0008912
58,163.998,0.86167,0.52457,0.9326,0.86689,0.88274,0.93569,0.66956,1.0704,0.63932,1.02342,0.0008714,0.0008714,0.0008714
59,166.395,0.81935,0.4476,0.8969,0.87447,0.87724,0.93768,0.67305,1.0758,0.63207,1.02788,0.0008516,0.0008516,0.0008516
60,168.853,0.83949,0.45388,0.90302,0.88856,0.87645,0.94294,0.676,1.0752,0.62081,1.03318,0.0008318,0.0008318,0.0008318
61,171.246,0.83924,0.44322,0.93472,0.89879,0.88474,0.94658,0.68324,1.05262,0.6174,1.02034,0.000812,0.000812,0.000812
62,174.963,0.78436,0.47589,0.90143,0.87726,0.90773,0.94893,0.68,1.06166,0.6176,1.0198,0.0007922,0.0007922,0.0007922
63,179.212,0.84271,0.45747,0.89667,0.87191,0.90809,0.94586,0.67071,1.09356,0.63425,1.03019,0.0007724,0.0007724,0.0007724
64,182.272,0.8052,0.46195,0.92062,0.86867,0.91064,0.95015,0.67143,1.11001,0.62183,1.03323,0.0007526,0.0007526,0.0007526
65,184.647,0.77778,0.44015,0.90667,0.88869,0.89467,0.95063,0.68399,1.08543,0.61185,1.02705,0.0007328,0.0007328,0.0007328
66,187.049,0.7829,0.43538,0.89549,0.91132,0.87407,0.94996,0.68317,1.06816,0.6128,1.02244,0.000713,0.000713,0.000713
67,189.456,0.79405,0.44924,0.87994,0.8969,0.88474,0.95338,0.68656,1.07116,0.60757,1.02274,0.0006932,0.0006932,0.0006932
68,192.418,0.78865,0.44777,0.89636,0.86479,0.92316,0.95461,0.67989,1.08362,0.60661,1.02561,0.0006734,0.0006734,0.0006734
69,195.839,0.8109,0.45682,0.89798,0.88307,0.88656,0.95313,0.67979,1.08332,0.60381,1.02531,0.0006536,0.0006536,0.0006536
70,198.304,0.79905,0.45025,0.91787,0.88605,0.88474,0.95163,0.68181,1.07881,0.59565,1.02703,0.0006338,0.0006338,0.0006338
1,3.08632,1.4074,2.22083,1.1227,0.6777,0.7524,0.72954,0.47705,1.10238,1.67886,0.95088,6e-05,6e-05,6e-05
2,5.5717,1.30579,1.84007,1.05026,0.63932,0.78762,0.6967,0.44176,1.13154,1.39308,1.02343,0.000138614,0.000138614,0.000138614
3,8.23821,1.17085,1.00569,1.02622,0.75252,0.82284,0.83423,0.55906,1.15325,1.17798,1.02301,0.000215644,0.000215644,0.000215644
4,11.9828,1.19363,1.17129,1.01038,0.76972,0.85486,0.87162,0.56112,1.18309,1.20354,1.02966,0.00029109,0.00029109,0.00029109
5,14.6084,1.13383,1.09113,1.02112,0.74582,0.86431,0.86627,0.56524,1.1714,1.36737,1.03604,0.000364952,0.000364952,0.000364952
6,19.933,1.0697,0.83106,0.99933,0.83542,0.81217,0.88617,0.59819,1.12964,1.10291,1.02867,0.00043723,0.00043723,0.00043723
7,23.3146,1.07552,0.83981,0.98271,0.78616,0.83966,0.87498,0.54538,1.18254,1.12373,1.03394,0.000507924,0.000507924,0.000507924
1,3.55497,1.45995,2.10225,1.11478,0.68363,0.7524,0.72679,0.47523,1.10225,1.67736,0.95107,6e-05,6e-05,6e-05
2,5.92192,1.35313,1.75188,1.09796,0.5032,0.80043,0.5899,0.37032,1.13978,1.77999,1.04042,0.000138614,0.000138614,0.000138614
3,8.40023,1.19157,1.12955,1.02375,0.75934,0.8826,0.88703,0.5949,1.09981,1.90533,1.01869,0.000215644,0.000215644,0.000215644
4,11.6743,1.15029,0.88645,0.99569,0.79785,0.82978,0.84995,0.53711,1.28072,1.42244,1.06292,0.00029109,0.00029109,0.00029109
5,14.8121,1.10367,0.86146,0.97727,0.75116,0.83031,0.85785,0.57165,1.11992,1.20344,1.01915,0.000364952,0.000364952,0.000364952
6,17.2348,1.16138,0.88976,0.99316,0.75927,0.86847,0.80384,0.55008,1.08066,1.68981,0.99449,0.00043723,0.00043723,0.00043723
7,19.719,1.09616,0.75386,0.98676,0.73043,0.84728,0.77574,0.51169,1.15178,1.43971,1.0326,0.000507924,0.000507924,0.000507924
8,22.1695,1.11194,0.74817,1.00307,0.82344,0.87103,0.90239,0.59078,1.22257,1.41052,1.07283,0.000577034,0.000577034,0.000577034
9,24.9709,1.06728,0.76578,1.00356,0.68932,0.84845,0.75483,0.50802,1.13052,1.34712,1.06997,0.00064456,0.00064456,0.00064456
10,28.2245,1.06907,0.73163,0.99681,0.80428,0.85518,0.90513,0.61247,1.12921,1.36698,1.07308,0.000710502,0.000710502,0.000710502
11,30.9265,1.04526,0.80195,1.00047,0.7739,0.86233,0.86524,0.56743,1.19299,0.92756,1.10674,0.00077486,0.00077486,0.00077486
12,33.7382,1.0113,0.73296,0.98966,0.78369,0.81971,0.86497,0.57391,1.16486,0.997,1.09271,0.000837634,0.000837634,0.000837634
13,36.6076,1.07618,0.66382,0.99756,0.77384,0.81069,0.84339,0.53176,1.26391,1.10126,1.12222,0.000898824,0.000898824,0.000898824
14,39.4292,1.06995,0.75149,0.99649,0.80348,0.81857,0.86995,0.55669,1.2568,1.00384,1.10921,0.00095843,0.00095843,0.00095843
15,42.7554,1.08629,0.73762,0.95937,0.5882,0.73639,0.59207,0.39249,1.14866,1.27424,1.05175,0.00101645,0.00101645,0.00101645
16,45.2754,1.08298,0.71631,0.97345,0.54206,0.79209,0.53483,0.34955,1.15736,1.59701,1.06316,0.00107289,0.00107289,0.00107289
17,47.7146,1.04594,0.73427,1.01383,0.74111,0.7588,0.77581,0.5201,1.17316,1.1436,1.07261,0.00112774,0.00112774,0.00112774
18,50.1291,1.07604,0.69567,0.98297,0.74722,0.83031,0.82745,0.53559,1.2155,1.10656,1.10055,0.00118101,0.00118101,0.00118101
19,52.6899,1.06906,0.68172,0.98799,0.79513,0.81217,0.8761,0.58071,1.15253,1.04686,1.07424,0.0012327,0.0012327,0.0012327
20,57.0618,0.97512,0.61778,0.94779,0.77288,0.82818,0.87924,0.58225,1.17913,0.90705,1.07863,0.0012828,0.0012828,0.0012828
21,60.2474,0.9817,0.62237,0.96241,0.58303,0.75212,0.58782,0.40065,1.11318,1.40312,1.07487,0.00133132,0.00133132,0.00133132
22,62.7509,0.9952,0.61171,0.95127,0.33565,0.8143,0.32344,0.21309,1.16161,4.22703,1.1007,0.00137825,0.00137825,0.00137825
23,65.1679,0.9413,0.65707,0.96721,0.37275,0.83209,0.36678,0.23745,1.19823,3.85405,1.1202,0.0014236,0.0014236,0.0014236
24,67.626,1.06536,0.6748,0.96536,0.45883,0.84525,0.46068,0.30332,1.16817,2.16949,1.10366,0.00146737,0.00146737,0.00146737
25,70.547,0.98876,0.73206,0.96111,0.63199,0.83392,0.63735,0.41961,1.18569,1.35721,1.1217,0.00150955,0.00150955,0.00150955
26,73.9834,1.04294,0.64635,0.95817,0.72033,0.86039,0.76594,0.50056,1.19162,1.32432,1.14034,0.001505,0.001505,0.001505
27,76.5327,0.98662,0.72713,0.98465,0.78594,0.87834,0.84403,0.54129,1.21246,1.10423,1.15123,0.0014852,0.0014852,0.0014852
28,78.9431,1.01715,0.65919,0.98752,0.80245,0.84967,0.87356,0.57693,1.164,0.89453,1.11781,0.0014654,0.0014654,0.0014654
29,81.2894,0.98485,0.73903,0.96832,0.80619,0.84418,0.87234,0.58408,1.14499,0.92504,1.10554,0.0014456,0.0014456,0.0014456
30,83.9562,1.02426,0.6541,0.95208,0.82466,0.85165,0.89001,0.61039,1.12816,1.04398,1.08919,0.0014258,0.0014258,0.0014258
31,87.464,1.04096,0.6565,0.99075,0.79228,0.82604,0.86971,0.56886,1.19449,1.05663,1.09715,0.001406,0.001406,0.001406
32,89.8608,1.0058,0.65201,0.96296,0.82175,0.85272,0.89243,0.58702,1.19143,0.93139,1.08894,0.0013862,0.0013862,0.0013862
33,92.2176,0.96811,0.63633,0.96603,0.8075,0.84205,0.87467,0.60776,1.09319,0.84774,1.04668,0.0013664,0.0013664,0.0013664
34,94.6397,0.97079,0.65576,0.96272,0.83398,0.82604,0.88464,0.60868,1.1092,0.8655,1.05002,0.0013466,0.0013466,0.0013466
35,97.0026,0.99722,0.64439,0.95154,0.78891,0.87747,0.88476,0.59204,1.15901,0.93345,1.06313,0.0013268,0.0013268,0.0013268
36,100.473,0.91783,0.60492,0.94054,0.7011,0.88047,0.8142,0.52697,1.18806,1.01151,1.07865,0.001307,0.001307,0.001307
37,103.126,0.99851,0.60667,0.9529,0.69072,0.8914,0.81991,0.53846,1.18055,1.006,1.0844,0.0012872,0.0012872,0.0012872
38,105.564,0.95243,0.6666,0.96773,0.8146,0.86446,0.90732,0.62077,1.14223,0.9762,1.08151,0.0012674,0.0012674,0.0012674
39,108.067,0.90103,0.58074,0.91275,0.84596,0.87914,0.92622,0.64411,1.11102,1.03694,1.06509,0.0012476,0.0012476,0.0012476
40,110.543,0.98397,0.59308,0.93901,0.84077,0.88472,0.92772,0.6382,1.13752,1.00011,1.07709,0.0012278,0.0012278,0.0012278
41,113.823,0.92251,0.55509,0.91386,0.85051,0.86831,0.92348,0.60989,1.20688,0.95121,1.10046,0.001208,0.001208,0.001208
42,116.763,0.90573,0.5247,0.92209,0.80277,0.89007,0.90781,0.61594,1.14699,0.88195,1.0669,0.0011882,0.0011882,0.0011882
43,119.179,0.9337,0.60851,0.94673,0.83081,0.88041,0.92122,0.63147,1.11266,0.78293,1.0563,0.0011684,0.0011684,0.0011684
44,121.836,0.9313,0.55842,0.95038,0.84788,0.86845,0.91994,0.6385,1.10071,0.73933,1.05727,0.0011486,0.0011486,0.0011486
45,124.252,0.91487,0.54718,0.93617,0.83835,0.88687,0.91414,0.63429,1.11145,0.74385,1.06047,0.0011288,0.0011288,0.0011288
46,127.125,0.89614,0.55685,0.92324,0.83139,0.89114,0.91923,0.63238,1.14759,0.7445,1.07118,0.001109,0.001109,0.001109
47,130.395,0.92765,0.531,0.91568,0.83554,0.87296,0.91292,0.62225,1.1446,0.74897,1.06866,0.0010892,0.0010892,0.0010892
48,132.837,0.87388,0.58031,0.93579,0.83783,0.88771,0.91476,0.63029,1.11474,0.70641,1.05816,0.0010694,0.0010694,0.0010694
49,135.272,0.83578,0.53511,0.89824,0.85924,0.886,0.91961,0.63661,1.09804,0.69726,1.04899,0.0010496,0.0010496,0.0010496
50,137.722,0.89236,0.52864,0.94697,0.86271,0.89191,0.92474,0.64034,1.09758,0.70114,1.04406,0.0010298,0.0010298,0.0010298
51,140.488,0.84288,0.50104,0.89983,0.86798,0.89115,0.93396,0.64621,1.11311,0.68852,1.05129,0.00101,0.00101,0.00101
52,144.042,0.86257,0.51303,0.92124,0.84535,0.89434,0.93332,0.64083,1.14044,0.67405,1.0582,0.0009902,0.0009902,0.0009902
53,146.396,0.8627,0.50526,0.90809,0.84129,0.87727,0.92442,0.64616,1.10477,0.67431,1.04748,0.0009704,0.0009704,0.0009704
54,148.821,0.81534,0.50667,0.9098,0.85126,0.86873,0.92508,0.65235,1.08953,0.661,1.04313,0.0009506,0.0009506,0.0009506
