epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,758.587,0.89286,0.98858,1.10314,0.83885,0.60817,0.74167,0.52745,1.08636,1.09622,1.06491,0.0006338,0.0006338,0.0006338
71,769.593,0.86441,0.89943,1.06429,0.85268,0.59702,0.73695,0.51962,1.10283,1.12855,1.06964,0.000614,0.000614,0.000614
72,780.978,0.89076,0.98066,1.08962,0.89144,0.58023,0.73021,0.51445,1.12655,1.1898,1.08111,0.0005942,0.0005942,0.0005942
73,791.333,0.86955,0.98475,1.07324,0.90761,0.5702,0.71663,0.50118,1.12571,1.23443,1.08324,0.0005744,0.0005744,0.0005744
74,801.493,0.84589,0.95507,1.05735,0.88912,0.58668,0.73977,0.52234,1.10313,1.11097,1.07587,0.0005546,0.0005546,0.0005546
75,812.777,0.84876,0.94834,1.08571,0.85975,0.58844,0.7326,0.51114,1.11788,1.06896,1.08257,0.0005348,0.0005348,0.0005348
76,823.773,0.82444,0.90248,1.05975,0.87684,0.5916,0.7136,0.50668,1.09476,1.19348,1.07112,0.000515,0.000515,0.000515
77,833.424,0.85008,0.96692,1.06233,0.85534,0.59721,0.71499,0.5017,1.11862,1.25437,1.08361,0.0004952,0.0004952,0.0004952
78,844.474,0.85358,0.86743,1.05933,0.87998,0.59241,0.73279,0.51949,1.10219,1.19564,1.07649,0.0004754,0.0004754,0.0004754
79,855.387,0.85921,0.87262,1.08246,0.8871,0.59384,0.72229,0.50979,1.10054,1.20225,1.08217,0.0004556,0.0004556,0.0004556
80,866.753,0.8179,0.82955,1.03329,0.83643,0.62639,0.72936,0.52316,1.0908,1.16761,1.07372,0.0004358,0.0004358,0.0004358
81,876.232,0.81172,0.93477,1.06695,0.84949,0.61454,0.71411,0.5056,1.10335,1.20441,1.07892,0.000416,0.000416,0.000416
82,887.657,0.8004,0.90046,1.07054,0.86381,0.61819,0.74201,0.52506,1.09074,1.10082,1.0695,0.0003962,0.0003962,0.0003962
83,898.9,0.82058,0.84087,1.05355,0.86613,0.60712,0.72663,0.51001,1.12521,1.18936,1.08797,0.0003764,0.0003764,0.0003764
84,909.876,0.80115,0.84696,1.05709,0.86743,0.5967,0.7007,0.5015,1.08323,1.25299,1.07283,0.0003566,0.0003566,0.0003566
85,920.329,0.83699,0.8793,1.0584,0.84552,0.59885,0.69247,0.48997,1.09979,1.2595,1.07638,0.0003368,0.0003368,0.0003368
86,932.026,0.8074,0.94194,1.10012,0.87207,0.60458,0.71669,0.50529,1.10919,1.19128,1.07865,0.000317,0.000317,0.000317
87,943.593,0.88369,0.93929,1.123,0.85114,0.61605,0.73318,0.52336,1.07573,1.14768,1.06676,0.0002972,0.0002972,0.0002972
88,955.051,0.81634,0.92891,1.07211,0.85254,0.62751,0.75398,0.53936,1.08319,1.11112,1.06635,0.0002774,0.0002774,0.0002774
89,965.137,0.83471,0.83047,1.07663,0.86291,0.60888,0.72318,0.5157,1.09784,1.19937,1.06982,0.0002576,0.0002576,0.0002576
90,976.445,0.80657,0.8494,1.06097,0.86492,0.61463,0.70948,0.50572,1.08966,1.23778,1.06512,0.0002378,0.0002378,0.0002378
91,990.084,0.88593,0.99801,1.17676,0.86132,0.61395,0.69427,0.49295,1.10236,1.24871,1.07493,0.000218,0.000218,0.000218
92,1000.77,0.78429,0.80574,1.08873,0.86477,0.6139,0.69724,0.48939,1.11285,1.1903,1.0861,0.0001982,0.0001982,0.0001982
93,1011.46,0.76681,0.74416,1.0389,0.85417,0.61819,0.70881,0.48694,1.14307,1.15406,1.10255,0.0001784,0.0001784,0.0001784
94,1020.97,0.75118,0.76858,1.05812,0.84778,0.6139,0.71996,0.50308,1.11117,1.11565,1.08777,0.0001586,0.0001586,0.0001586
95,1031.72,0.77495,0.82214,1.06393,0.85091,0.61461,0.71488,0.50323,1.09813,1.14855,1.08076,0.0001388,0.0001388,0.0001388
96,1042.56,0.7508,0.76676,1.06413,0.85504,0.60888,0.70704,0.49309,1.12854,1.196,1.09365,0.000119,0.000119,0.000119
97,1052.29,0.77166,0.78361,1.08728,0.85027,0.60609,0.70327,0.49063,1.13084,1.21818,1.09342,9.92e-05,9.92e-05,9.92e-05
98,1062.67,0.79034,0.73695,1.09949,0.85284,0.61175,0.69621,0.49239,1.1085,1.24885,1.08284,7.94e-05,7.94e-05,7.94e-05
99,1073.63,0.7449,0.68224,1.05304,0.85305,0.61246,0.69364,0.49319,1.09845,1.25568,1.07889,5.96e-05,5.96e-05,5.96e-05
100,1084.68,0.7405,0.70156,1.05248,0.85356,0.60957,0.68954,0.48899,1.10036,1.2605,1.07935,3.98e-05,3.98e-05,3.98e-05
