epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,190.254,0.71427,0.43617,0.86614,0.88131,0.90928,0.93323,0.62471,1.13492,0.61514,1.04592,0.0008318,0.0008318,0.0008318
61,192.984,0.71218,0.45284,0.87133,0.88663,0.89861,0.9279,0.62233,1.12145,0.61767,1.03949,0.000812,0.000812,0.000812
62,195.379,0.71304,0.43547,0.87481,0.89421,0.89648,0.92846,0.62386,1.1318,0.61201,1.04477,0.0007922,0.0007922,0.0007922
63,198.298,0.72167,0.44132,0.87516,0.90338,0.88808,0.93499,0.62624,1.1464,0.60688,1.04985,0.0007724,0.0007724,0.0007724
64,201.844,0.65169,0.465,0.86691,0.88257,0.90638,0.93859,0.62451,1.15992,0.60493,1.05758,0.0007526,0.0007526,0.0007526
65,205.281,0.66025,0.43037,0.87573,0.88713,0.90288,0.93816,0.63008,1.1613,0.61154,1.05882,0.0007328,0.0007328,0.0007328
66,207.752,0.65918,0.41837,0.86787,0.88911,0.90715,0.93766,0.63187,1.15465,0.61974,1.05219,0.000713,0.000713,0.000713
67,210.357,0.71255,0.43384,0.87128,0.88472,0.90916,0.93957,0.63525,1.15119,0.60388,1.04673,0.0006932,0.0006932,0.0006932
68,212.781,0.68582,0.44764,0.86677,0.89639,0.9049,0.93903,0.64,1.13449,0.60347,1.03863,0.0006734,0.0006734,0.0006734
69,215.305,0.65559,0.42259,0.86578,0.88414,0.90401,0.93534,0.63689,1.11294,0.62028,1.03005,0.0006536,0.0006536,0.0006536
70,218.567,0.67973,0.42258,0.86645,0.85505,0.93171,0.93265,0.63747,1.10414,0.6322,1.02846,0.0006338,0.0006338,0.0006338
71,221.243,0.71587,0.45943,0.8807,0.85775,0.92667,0.93353,0.63427,1.11264,0.62978,1.03235,0.000614,0.000614,0.000614
72,223.679,0.64079,0.4435,0.87244,0.87003,0.92162,0.9353,0.63592,1.13065,0.61478,1.03975,0.0005942,0.0005942,0.0005942
73,226.082,0.70671,0.44283,0.86438,0.87047,0.92529,0.9355,0.63501,1.13758,0.60324,1.04332,0.0005744,0.0005744,0.0005744
74,228.47,0.66572,0.41265,0.86791,0.87344,0.92065,0.93728,0.63673,1.1335,0.59973,1.04215,0.0005546,0.0005546,0.0005546
75,231.58,0.65743,0.41444,0.86166,0.89128,0.91142,0.93982,0.63594,1.12964,0.59962,1.04143,0.0005348,0.0005348,0.0005348
76,234.426,0.64015,0.4048,0.85947,0.89213,0.90912,0.94163,0.64289,1.11486,0.60156,1.03833,0.000515,0.000515,0.000515
77,236.836,0.65922,0.408,0.8562,0.87889,0.91676,0.93961,0.64342,1.10687,0.60861,1.03697,0.0004952,0.0004952,0.0004952
78,239.216,0.6903,0.42432,0.87497,0.86933,0.92209,0.93732,0.64031,1.10918,0.62133,1.03807,0.0004754,0.0004754,0.0004754
79,241.671,0.61518,0.38757,0.85091,0.86577,0.92316,0.93689,0.63774,1.11256,0.62359,1.03825,0.0004556,0.0004556,0.0004556
80,244.352,0.66618,0.4154,0.87831,0.86474,0.91996,0.93679,0.63628,1.12285,0.62307,1.04059,0.0004358,0.0004358,0.0004358
81,247.588,0.63533,0.40432,0.87508,0.8768,0.91145,0.9367,0.63404,1.13195,0.61596,1.04189,0.000416,0.000416,0.000416
82,250.091,0.6332,0.40064,0.85836,0.88284,0.90715,0.93575,0.63385,1.13297,0.60898,1.04096,0.0003962,0.0003962,0.0003962
83,252.492,0.63958,0.40174,0.85419,0.91484,0.88278,0.93614,0.63261,1.13494,0.60656,1.04204,0.0003764,0.0003764,0.0003764
84,254.882,0.64666,0.40365,0.87915,0.9186,0.8826,0.93747,0.63644,1.12707,0.60389,1.04046,0.0003566,0.0003566,0.0003566
85,257.48,0.64069,0.39446,0.86427,0.91519,0.88581,0.93816,0.64043,1.11824,0.60261,1.03835,0.0003368,0.0003368,0.0003368
86,260.623,0.62862,0.40034,0.85405,0.9151,0.88577,0.9396,0.64088,1.11994,0.60246,1.03997,0.000317,0.000317,0.000317
87,263.377,0.63153,0.38023,0.85542,0.89715,0.90502,0.93958,0.64162,1.12455,0.60347,1.04256,0.0002972,0.0002972,0.0002972
88,265.796,0.63904,0.3887,0.85857,0.90094,0.89968,0.9409,0.63941,1.12563,0.60501,1.04229,0.0002774,0.0002774,0.0002774
89,268.236,0.61345,0.39575,0.86026,0.90468,0.89114,0.94001,0.63723,1.12587,0.60788,1.04309,0.0002576,0.0002576,0.0002576
90,270.635,0.63397,0.39747,0.85195,0.90127,0.88659,0.93676,0.63676,1.13438,0.61307,1.0458,0.0002378,0.0002378,0.0002378
91,276.487,0.62449,0.39672,0.85111,0.8993,0.88687,0.93365,0.63088,1.13631,0.62069,1.04769,0.000218,0.000218,0.000218
92,278.908,0.64904,0.41563,0.8601,0.88932,0.89541,0.93333,0.63365,1.13,0.6202,1.04577,0.0001982,0.0001982,0.0001982
93,281.264,0.64175,0.41857,0.83708,0.89967,0.89541,0.93391,0.63742,1.12382,0.61649,1.045,0.0001784,0.0001784,0.0001784
94,283.747,0.58392,0.36823,0.83751,0.90396,0.89406,0.93486,0.63957,1.12296,0.61062,1.04563,0.0001586,0.0001586,0.0001586
95,286.31,0.6237,0.38498,0.83454,0.89004,0.91462,0.93336,0.63973,1.12714,0.60712,1.04778,0.0001388,0.0001388,0.0001388
96,289.682,0.65502,0.40761,0.87308,0.89663,0.90715,0.93473,0.63981,1.12884,0.60661,1.04893,0.000119,0.000119,0.000119
97,292.084,0.62943,0.37555,0.84964,0.89417,0.9107,0.93447,0.63993,1.12807,0.60214,1.04856,9.92e-05,9.92e-05,9.92e-05
98,294.45,0.60627,0.37373,0.85919,0.89829,0.90484,0.93403,0.64019,1.12596,0.60219,1.04772,7.94e-05,7.94e-05,7.94e-05
99,296.864,0.65449,0.39368,0.84595,0.90102,0.90351,0.93337,0.6395,1.12318,0.60118,1.04686,5.96e-05,5.96e-05,5.96e-05
100,299.325,0.64116,0.39073,0.87093,0.90337,0.90181,0.93304,0.63884,1.12153,0.59888,1.0463,3.98e-05,3.98e-05,3.98e-05
